,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Cambodia,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Egypt,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,Ethiopia,,,,,,,,,,,6,,,,,,,,,,,,,,,5,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Indonesia,,,,,,,,,29,,,,,,23,21,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,68,,,,,,,,2,18,9,,,,,,,,,,,,,,,,,,,,,,,,,,117
,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,447,,,,,,,,,,,,,,,,,,,,,,,,,502
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,33,63,33,33,33,23,20,45,70,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Myanmar,,,,,,,,,29,,,,,,,5,,,,3,3,1,,,,,,,,,,,,,,,,,,,17,32,32,,,,,,,,,,,,,,,,,,,,,,,,122
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
,Peru,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Sudan,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,54
,Zambia,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
