,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7,11
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,,,,,,,3,,,,,,,,,,,8,29,43,90
,Argentina,,,,,,,,,,,,,,,,,,,,,3,3,,2,358,,5,,,9,25,89,106,828,526,403,165,133,3,,130,,,,161,7,,18,25,,130,,,,130,,,,,,,,,2,2,,3259
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,53,66,125,,,,,,,,,,,,,,,,,,251,,251,,,251,251,251,251,251,251,1,32,13,35,29,14,,7,9,2394
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,65,30,,,0,4,5,4,7,4,244,190,285,,,,,2,,840
,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,29,,,88,,44,76,76,44,,,,,2,,,,,,,,,,,,,,,,,,,,,,363
,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,7,,,14
,Belgium,,,,,,,,,,,0,1,0,,,6,,,197,205,207,181,,,,44,44,90,135,135,135,,,,,,,,,,,,,,,,,,,,,,,,,0,9,10,10,10,10,6,,13,25,13,1486
,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7,,13
,Brazil,,,,,,,,,,,,,,,,,,,,3,,30,30,1,0,0,48,18,57,41,18,2,,,,1,1,1,1,176,1,5,5,,175,32,181,,,191,,,,,,170,,,4,65,137,172,37,43,58,38,1742
,Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,33,193,,,63,,335
,Burundi,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Cameroon,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,143,,,,,,,,,,,18,,,,,,,,,23,38,31,,,,,2,42,0,,,0,,,9,16,482
,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,,,,,,,,,,,,9
,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,38,4,,,,250,,1,,,7,17,2,,,,,,44,44,,5,,,,,1,1,86,156,172,162,10,8,,36,,1055
,China,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,3,3,3,12,7,2,12,12,12,12,12,12,12,12,12,12,12,16,12,12,18,8,8,14,8,8,6,8,16,16,12,10,3,3,3,3,3,11,9,12,403
,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,142,420,2,,,,,,,,,,,,17,17,,,,,3,,,,,,,,10,70,8,44,76,1096
,Costa Rica,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,,,,,,,,,,,,,,,,,11,12
,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
,Denmark,,,,,,,,,,,,,6,6,5,5,,,,,80,,,,,,280,268,188,,1,1,1,,,,,,,0,61,51,0,21,21,10,21,1,10,10,1,16,27,42,86,47,,,,,,,24,,47,,1336
,DR Congo,,,,,,,,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Ecuador,,,,,,,,,,,,,,,,,,,,,,47,,,,,44,246,158,,,,5,14,10,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,526
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,16,,,,10,10,10,10,10,11,10,10,10,10,10,10,10,10,12,20,35,131,1,9,9,9,9,9,9,9,9,25,23,26,507
,El Salvador,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3
,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,7,,9,,,9,,,2,7,2,,,,,,,,,,,49
,Ethiopia,,,,,,,,,,,,0,,,,,,,,,2,0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,6,3,,,,2,13,144,40,61,,,,2,,,,,198,10,37,26,3,,,,,8,8,,,562
,France,,,,,,,,,,,,,3,,,,,,,,,,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,2,6,2,2,0,,8,,,8,128
,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,0,5
,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4
