,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,4
,Canada,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,26,26,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,78
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,74,,116
,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,France,,,,,,,,,,,,0,,1,0,2,2,3,2,,,,1,12,,,11,,,1,,,5,1,104,,10,5,1,1,5,,,,,,,,,,,1,,,,5,,,,,,,,,10,2,185
,Germany (FRG),,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,4,4,4,,6,,,,,2,,1,,,,,,,,25
,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,4,,,,,,,,,,,,,,,,,,,,7
,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,14
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,,1,,,,,,,,,,,,,,8
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,,17
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
,United Kingdom,,,,,,,,,,,,,,0,,,,,,,,,,,,,,17,,,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
,United States,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,56,,,,,29,1,17,,,,,3,3,,,,,,,,,,,,,,,,,,,,10,,,2,,,122
