,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,54,54,,,,,,,,,108
,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,0,3,1,1,1,1,,,74
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,41,,,,,,,,,3,,33,23,23,,,,,,,,,,,,,,,,,,,201
,Canada,,,,,81,,,,,16,15,15,15,,,,,,,,,,,1,2,2,3,3,6,10,2,6,4,3,,,,,,,8,18,15,16,15,20,8,8,,,,,,,,,,,,,,,,,,,290
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,4
,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,,,,7,,,,25
,Germany (FRG),,,,,,,,,,,,,3,,,,,,,,,,,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,2,6,2,2,0,,8,,,8,128
,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,5,,9,3,,,,,,18
,Italy,,,,,7,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,38,,,,,,,,,,,,,,,,60,16,,3,,,3,243
,Mexico,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,30,,13,,,13,127
,Norway,,,,,,,,,,,,,,,22,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,35
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,11,,41,25,,,,,,25,16,16,,16,25,,,,,,,,8,8,49,,,249
,Sweden,,,,,,17,28,28,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,15,15,,,,,,,1,10,1,,,127
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,9
,United Kingdom,,521,566,629,263,220,59,24,24,42,23,23,,,,14,39,54,66,30,30,30,15,,,,,9,43,55,68,95,95,58,27,15,24,,12,9,27,15,15,15,55,40,30,20,10,,18,,,,,,,,,,,,,,,,3425
,United States,218,446,556,1060,1051,1041,1134,631,1040,789,384,215,111,63,1163,241,37,39,47,71,94,103,78,85,20,13,230,239,230,,,,,4,,,,84,88,116,26,846,285,18,5,5,3,82,139,93,70,66,20,17,78,2,2,,1,,51,23,39,55,17,9,13670
